傲睨一世,昂首望天
餍饫,饱食
警卫,保镳
收藏,保藏
连结,保持
生存,保存
掩护,保护
推荐,保举
保存,保留
守旧,保守
守卫,保卫
调养,保养
包管,保证
营垒,堡垒
人为,报酬
报酬,报答
抨击,报复
陈诉,报告
汇报,报告请示
应命,报命
道歉,报歉
得病,抱病
行侠仗义,抱不平
固步自封,抱残守缺
理想,抱负
怀愁,抱恨
抱歉,抱愧
歉仄,抱歉
抱冤,抱屈
捧头,抱头
狼狈而逃,抱头鼠窜
抱屈,抱冤
诉苦,抱怨
遁世,豹隐
暴乱,暴动
狂风,暴风
罪恶滔天,暴戾恣睢
袒露,暴露
原形毕露,暴露无遗
暴动,暴乱
狠毒,暴虐
大发雷霆,暴跳如雷
歹徒,暴徒
急躁,暴躁
虐政,暴政
发作,爆发
爆竹,爆仗
爆仗,爆竹
鄙俚,卑鄙
卑躬屈膝,卑恭屈节
奴颜媚骨,卑躬屈膝
猥贱,卑贱
卑鄙,卑劣
鬼蜮伎俩,卑劣手段
奴视,卑视
草木皆兵,杯弓蛇影
人浮于事,杯水车薪
悲痛,悲哀
悲凉,悲惨
追悼,悲悼
灰心,悲观
离合悲欢,悲欢离合
悲惨,悲凉
楚切,悲凄
悲伤,悲戚
悲啼,悲泣
伤心,悲伤
叹伤,悲叹
悲泣,悲啼
悲痛,悲恸
悲伤,悲痛
碑帖,碑本
碑本,碑帖
斗极,北斗
寒风,北风
勾栏,北里
存案,备案
破釜沉舟,背城借一
南辕北辙,背道而驰
后手,背工
配景,背景
反面,背面
叛逆,背叛
背约,背信
背信,背约
孤注一掷,背注一掷
受宠若惊,被宠若惊
受骗,被骗
当选,被选
奔忙,奔波
奔跑,奔驰
旷达,奔放
奔驰,奔跑
奔驰,奔腾
驱驰,奔走
跋山涉水,奔走风尘
当地,本地
土产,本地货
天职,本分
祖籍,本籍
同族,本家
正事主,本家儿
原来,本来
本事,本领
舍本逐末,本末倒置
本末倒置,本末颠倒
职能,本能机能
今年,本年
资本,本钱
即日,本日
实质,本色
自己,本身
本领,本事
正事主,本事儿
个人主义,本位主义
真相,本相
本旨,本心
天性,本性
个性难改,本性难移
本心,本意天良
来源根基,本原
本心,本旨
素质,本质
簿本,本子
笨蛋,笨伯
笨伯,笨蛋
傻里傻气,笨头笨脑
鸠拙,笨拙
瓦解,崩溃
倾圯,崩裂
迫近,逼近
迫良为娼,逼良为娼
欺压,逼迫
铤而走险,逼上梁山
传神,逼真
始祖,鼻祖
触目皆是,比比皆是
比喻,比方
等到,比及
比力,比较
最近,比来
比较,比力
同等看待,比量齐观
相比,比拟
连年,比年
比岁不登,比年不登
好比,比如
角逐,比赛
指手画脚,比手划脚
比年不登,比岁不登
交锋,比武
夫唱妇随,比翼双飞
青天,彼苍
相互,彼此
挥洒自如,笔底生花
卖文为活,笔耕墨耘
字迹,笔迹
条记,笔记
凭单,笔据
翰墨,笔墨
笔挺,笔直
鸾翔凤翥,笔走龙蛇
管见,鄙见
卑鄙,鄙俚
吝啬,鄙吝
猥琐,鄙陋
唾弃,鄙弃
在下,鄙人
藐视,鄙视
卑鄙,鄙俗
俗不可耐,鄙俗不堪
粗言,鄙言
俗语,鄙谚
鄙视,鄙夷
愚见,鄙意
迫不得已,必不得已
肯定,必定
恭恭敬敬,必恭必敬
一定,必然
必须,必需
须要,必要
终究,毕竟
断命,毕命
一举而竟全功,毕其功于一役
终生一生没世,毕生
结业,毕业
缄口,闭口
缄口结舌,闭口无言
杜门不出,闭门不出
关门落锁,闭门塞窦
凭空捏造,闭门造车
解散,闭幕
花容月貌,闭月羞花
保护,庇护
荫庇,庇荫
寒家,敝宅
毛病,弊端
葱茏,碧绿
白种人,碧眼儿
避忌,避讳
逃难,避祸
避讳,避忌
制止,避免
遁迹,避难
躲债,避债
边疆,边陲
相貌,边幅
界限,边界
疆域,边境
边沿,边缘
主笔,编缉
辑录,编录
纪年,编年
点窜,编削
体例,编制
编辑,编纂
入木三分,鞭辟入里
推动,鞭策
鞭笞,鞭挞
跌价,贬价
抑低,贬抑
便利,便当
燕服,便服
私函,便函
方便,便利
即是,便是
条子,便条
自制,便宜
酿成,变成
变更,变动
厘革,变革
变动,变更
变革,变化
变化无穷,变化多端
变化多端,变化无穷
幻化,变幻
变化多端,变幻莫测
变更,变换
背叛,变节
事故,变乱
失常,变态
各处,遍地
普遍,遍及
体无完肤,遍体鳞伤
剖白,辨白
鉴别,辨别
辩解,辩白
反驳,辩驳
谈锋,辩才
辩说,辩论
辩论,辩说
特出,彪炳
斥候,标兵
方向,标的目的
标志,标记
标记,标识表记标帜
题目,标题问题
别开生面,标新立异
口号,标语
标记,标志
漂亮,标致
尺度,标准
表明,表白
内外,表里
暴露,表露
楷模,表率
外貌,表面
评释,表明
心情,表情
表现,表示
亮相,表态
体现,表现
演出,表演
表彰,表扬
表扬,表彰
别开生面,别出机杼
自出机杼,别出心裁
外传,别传
另外,别的
别名,别号
别开生面,别具一格
别出心裁,别开生面
分别,别离
又名,别名
野史,别史
一无长物,别无长物
剖辨,别析
醉翁之意,别有用心
新奇,别致
来宾,宾客
宾朋盈门,宾客盈门
三千珠履,宾客盈庭
宾朋盈门,宾朋迎门
宾朋迎门,宾朋盈门
摈弃,摈斥
驱逐,摈除
